customer_id,baseline_sessions_30d,tenure_months,digital_transaction_share,support_tickets_90d,estimated_cate,aipw_pseudo_outcome,effect_decile,engagement_band,tenure_band
139,7.1,32.8,0.401,0,0.06486029062023596,-0.9160552053943017,6,medium,established
140,13.0,2.0,0.762,1,0.16548130469381858,-0.4460288892767993,9,high,new
141,5.8,59.6,0.753,1,0.05602136115152123,1.6421003148173123,6,low,long_tenure
142,4.9,59.1,0.734,0,-0.11004812073484968,-0.43777424468823745,1,low,long_tenure
143,6.2,27.0,0.212,1,0.014294879842061983,-0.8437178605426925,4,medium,established
144,9.3,30.9,0.615,4,-0.1253298191131285,-0.6916472965277103,1,medium,established
145,10.4,55.4,0.677,1,0.02661893048363755,-0.7062751878341056,4,medium,long_tenure
146,13.9,31.0,0.865,2,0.15698293585764977,0.9908264788535286,9,high,established
147,4.6,55.5,0.871,1,0.05324336831598506,1.3908696744625493,5,low,long_tenure
148,7.8,27.5,0.809,0,0.08889086337603275,0.7098230946341608,7,medium,established
149,7.5,42.9,0.598,0,0.05049909942246075,0.7341420504875164,5,medium,established
150,16.6,7.4,0.875,0,0.10406778857298248,1.235720746009637,8,high,new
151,0.0,28.2,0.393,1,-0.016062611854179173,-0.7713334300323096,3,low,established
152,5.8,25.8,0.363,3,-0.035957159575567534,1.7711818294318027,2,low,established
153,13.6,23.2,0.799,2,0.01359068142981062,1.1424483599120956,4,high,established
154,7.3,37.6,0.646,2,0.0940842273171037,-0.8441881699874658,7,medium,established
155,19.2,41.1,0.99,0,-0.037160674969902247,-0.32898006747550224,2,high,established
156,3.1,22.0,0.761,0,0.10484810514242109,0.5008543641048426,8,low,established
157,16.9,1.0,0.987,1,-0.020473533427759528,-0.4937631992124273,3,high,new
158,9.9,18.4,0.325,2,-0.032414017315885536,0.36822005802537555,2,medium,established
159,2.3,13.6,0.225,0,0.26218333848175956,0.5177188634273839,10,low,new
160,3.3,10.3,0.547,4,0.24889272706876056,0.37534262730475965,10,low,new
161,19.3,17.1,0.99,0,0.12876695585848874,0.2911296984209981,8,high,new
162,9.8,37.0,0.491,2,0.02056268459286238,1.6779115030701048,4,medium,established
163,18.9,34.5,0.866,0,0.06574401224892928,-0.49724508791262223,6,high,established
164,21.1,22.1,0.99,1,0.024186306644704343,-1.3657051007292549,4,high,established
165,7.1,56.7,0.673,4,0.0623249965848102,0.48302988697784277,6,medium,long_tenure
166,3.7,57.7,0.765,0,0.12600655411544542,-0.735032402265918,8,low,long_tenure
167,4.4,2.4,0.226,0,0.11396364241440561,0.45252726338677346,8,low,new
168,6.7,34.6,0.468,0,0.10322737604434,0.36394247734207164,8,medium,established
169,3.0,39.9,0.835,0,0.2381416249873731,0.8337168288518422,10,low,established
170,2.0,12.9,0.488,0,0.27700208313106683,-1.282612052342315,10,low,new
171,13.8,22.2,0.99,0,0.05801899338566607,-1.653796400731735,6,high,established
172,9.0,60.8,0.644,0,-0.13185942836544945,1.3719678053058004,1,medium,long_tenure
173,16.6,13.7,0.912,0,0.07799516329179582,-0.4806373889396235,6,high,new
174,2.4,7.8,0.584,0,0.20384754857182222,-0.821195205335328,10,low,new
175,16.5,15.9,0.826,0,0.08872006542461969,1.130532053099728,7,high,new
176,12.9,28.0,0.816,0,0.19910993268939417,0.8074801322407887,10,high,established
177,6.8,62.2,0.587,0,-0.01985945687131951,0.7336820872777772,3,medium,long_tenure
178,1.1,12.0,0.433,2,0.24801444842709827,0.4095483956489291,10,low,new
179,4.1,7.0,0.253,0,0.16178327649455546,0.565997774812705,9,low,new
180,2.3,12.3,0.51,1,0.05572858472663713,2.399190233801878,6,low,new
181,6.4,26.7,0.412,0,0.22652522791509166,-1.7720479081895775,10,medium,established
182,4.4,26.1,0.524,2,-0.148302907925683,-0.5224020928609703,1,low,established
183,7.4,52.4,0.407,0,0.08158000068913482,0.8014456183421808,7,medium,long_tenure
184,12.8,35.5,0.734,1,0.0819390859882403,0.9414120067223938,7,high,established
185,5.5,27.0,0.577,1,0.12740977457193484,0.5254568177517331,8,low,established
186,8.0,20.2,0.638,2,0.14961709093727923,-0.6942013716527085,9,medium,established
187,6.4,70.3,0.643,0,-0.06118559474205255,-3.122066318321959,2,medium,long_tenure
188,12.8,6.9,0.99,0,-0.16076653213273395,-1.423178470376433,1,high,new
189,4.3,10.1,0.57,1,0.08434224851203957,0.4498565438348111,7,low,new
190,16.8,17.8,0.958,0,0.15526813293575348,1.5294534883101032,9,high,new
191,0.0,50.3,0.496,1,-0.026399907970356153,-0.9021868714641061,3,low,long_tenure
192,12.3,25.0,0.99,0,-0.05937578455682544,-0.7172153759922298,2,high,established
193,14.6,17.6,0.984,0,-0.06744819958701537,-1.1416136773073462,2,high,new
194,1.5,26.3,0.342,0,0.07618825955094771,-1.007864044417929,6,low,established
195,16.1,1.0,0.99,0,0.07341013643007903,0.5025665258598195,6,high,new
196,16.5,2.5,0.886,0,0.153079460638729,-0.5743637379733497,9,high,new
197,8.7,1.0,0.594,2,0.1729345831160119,1.4997520534415636,10,medium,new
198,6.0,42.8,0.442,0,0.03316390458981661,2.330113862025561,5,low,established
199,14.4,34.3,0.99,0,0.056706294544930945,0.5290365604504823,6,high,established
200,7.9,66.7,0.832,1,-0.03650964099046882,-0.5993800896185453,2,medium,long_tenure
201,1.8,23.6,0.433,1,-0.07186219339113423,0.2480697248416201,1,low,established
202,5.3,3.4,0.62,2,0.2195035366685008,0.7291039964664454,10,low,new
203,8.2,59.4,0.658,1,0.04906543487321152,-0.5713972516765952,5,medium,long_tenure
204,12.8,37.5,0.99,1,-0.08148099252855012,1.2008254932895754,1,high,established
205,15.6,17.6,0.922,2,0.04234017175252338,0.5836957005422536,5,high,new
206,15.9,9.2,0.846,1,0.0958205908888425,-0.5121566147588901,7,high,new
207,16.8,1.0,0.99,0,-0.07555762943539385,0.6560249626635727,1,high,new
208,9.9,47.6,0.525,2,-0.18271478279783798,-0.5639526722474248,1,medium,established
209,14.1,15.2,0.828,0,0.19436088546680763,-0.589757587608672,10,high,new
210,10.1,40.9,0.502,0,0.06213509860767169,-0.4891859330961984,6,medium,established
211,10.4,19.9,0.729,2,0.0763611086849082,1.4049698695101485,6,medium,established
212,7.0,15.7,0.755,1,0.17044359571074408,-0.8514590053692376,9,medium,new
213,12.9,14.4,0.941,0,0.13725234299308192,-0.7366461753302014,9,high,new
214,2.7,24.5,0.322,3,0.07473896001386016,-1.2678671908041446,6,low,established
215,5.0,25.0,0.589,2,0.10092027163520577,-1.0070279234779957,7,low,established
216,5.1,31.3,0.397,1,0.1535615310019209,-0.9868873074141828,9,low,established
217,19.2,16.9,0.787,0,0.11524436398169757,-0.43968723496459805,8,high,new
218,19.8,28.7,0.846,0,0.06889364360960426,0.3755574553941987,6,high,established
219,1.6,17.7,0.486,2,0.007996115491809385,0.29803794176468845,4,low,new
220,10.1,98.5,0.573,1,0.009059437356732045,-0.5013615380475225,4,medium,long_tenure
221,8.2,55.2,0.672,1,-0.012309405163609406,0.691082847223687,3,medium,long_tenure
222,1.5,51.2,0.445,0,-0.020884215265986023,-0.6468429326020949,3,low,long_tenure
223,8.1,18.7,0.775,2,0.03826332178598001,-0.9074520188606241,5,medium,established
224,3.3,19.5,0.387,1,0.03460868688201028,0.30767609419739406,5,low,established
225,19.3,1.0,0.99,0,0.08458459860032375,0.381202415313458,7,high,new
226,2.1,25.5,0.451,0,-0.010215609867429991,0.38971782203888056,3,low,established
227,17.5,1.0,0.944,0,0.0606538923697948,0.4963809510925727,6,high,new
228,8.7,32.9,0.465,1,-0.023467862578518153,-1.1170533013088932,3,medium,established
229,5.1,14.8,0.506,1,0.13888667753418737,2.023515428530761,9,low,new
230,14.5,11.4,0.819,0,0.07817095766328071,-0.6001702534996661,7,high,new
231,20.1,23.3,0.903,1,0.016788747178265277,0.674052324217271,4,high,established
232,7.5,89.6,0.786,0,-0.06048411137148652,0.5890385327171104,2,medium,long_tenure
233,6.9,9.1,0.478,0,0.13728154372933485,0.485451228781667,9,medium,new
234,11.3,29.2,0.491,4,-0.1048312812116764,0.36591627576786684,1,medium,established
235,3.3,13.3,0.44,0,0.2549451353264162,0.5456550458009101,10,low,new
236,1.0,11.6,0.421,1,0.21915647817673906,0.4427200088421789,10,low,new
237,4.9,53.4,0.601,0,0.09509521581541797,0.49236506452887807,7,low,long_tenure
238,8.4,31.9,0.428,0,-0.04696406206746134,0.41191691762681615,2,medium,established
239,16.4,10.1,0.984,0,-0.07776935507414648,0.6418295454433888,1,high,new
240,11.3,43.0,0.821,0,0.12342009363389944,0.8123698461769647,8,medium,established
241,6.8,27.0,0.392,1,-0.023460111650169,-0.805918222409171,3,medium,established
242,0.0,9.9,0.538,2,0.01859857696564165,0.38118310971857794,4,low,new
243,13.8,11.6,0.952,0,0.06162256217495017,-0.28244239781622765,6,high,new
244,9.2,21.4,0.731,2,0.12836698770750665,-0.7307437626515442,8,medium,established
245,15.8,40.6,0.748,5,0.07524422333803057,1.5435988302542698,6,high,established
246,6.7,2.3,0.28,1,0.01845198807063299,2.208448890318666,4,medium,new
247,7.7,14.9,0.622,0,0.13871366556899198,0.7796474135750284,9,medium,new
248,8.1,54.9,0.584,1,-0.015848553882583244,0.8446958239372134,3,medium,long_tenure
249,10.5,70.2,0.508,0,-0.2003106538864157,-0.5532556178891321,1,medium,long_tenure
250,11.8,76.8,0.553,0,-0.08890604502528711,0.912781135596924,1,medium,long_tenure
251,8.3,47.6,0.557,4,-0.09620376775018641,0.5386763737927516,1,medium,established
252,3.9,28.4,0.398,1,-0.03817328182190765,0.3904573414940596,2,low,established
253,5.8,61.0,0.573,1,0.058524782625068376,-0.8208272382887136,6,low,long_tenure
254,17.8,25.5,0.898,0,0.008801107617491814,0.9396784233616169,4,high,established
255,18.8,2.3,0.99,1,0.014795939349972854,-1.5292992011601592,4,high,new
256,0.0,1.0,0.24,1,0.15942453858941916,0.4531286790026994,9,low,new
257,3.4,27.2,0.555,1,0.10532790565405492,0.5394067844009117,8,low,established
258,12.7,3.9,0.898,1,0.08711052453487382,1.0985084076553147,7,high,new
259,16.4,15.2,0.852,0,0.19307844531056867,-1.6725436061169656,10,high,new
260,5.7,32.4,0.368,2,0.05202832389398282,0.42412272399384476,5,low,established
261,12.4,19.0,0.984,0,0.09939202980684557,-0.44986064591898084,7,high,established
262,7.5,33.3,0.271,1,0.127689791632361,0.3044999813315794,8,medium,established
263,7.6,72.0,0.731,0,0.06533258857377451,-0.6967240310303531,6,medium,long_tenure
264,15.8,18.3,0.99,1,-0.08057473612415966,-1.3531634330982567,1,high,established
265,5.7,16.7,0.289,0,0.10250261552972312,-0.8485805140791642,7,low,new
266,18.6,17.3,0.99,3,-0.13642615614554846,1.1746405583336357,1,high,new
267,14.9,8.8,0.903,1,0.14666922620777276,1.3842455457530778,9,high,new
268,14.9,13.6,0.67,1,0.22292392103769412,-1.010698508077574,10,high,new
269,14.9,47.4,0.767,0,-0.04593109358143981,-0.4725568951725245,2,high,established
270,18.9,18.2,0.92,0,0.036100511064078154,-1.8221277037896702,5,high,established
271,15.8,21.4,0.944,0,0.0035764079179011967,1.3234425293641703,3,high,established
272,15.2,7.5,0.726,2,0.10640218578683375,0.9251467762835747,8,high,new
273,17.1,28.2,0.903,2,0.09798861234174717,-0.5138578275636355,7,high,established
274,13.9,40.1,0.681,1,0.08195743710579854,0.804023573686466,7,high,established
275,9.2,40.2,0.7,3,0.05910061470316619,0.8298113211948379,6,medium,established
276,7.3,64.6,0.595,0,0.09434357623290343,-0.7021277939747297,7,medium,long_tenure
277,13.2,74.4,0.688,0,0.1284229012578535,-0.48332777925294246,8,high,long_tenure
278,11.6,77.3,0.758,2,-0.03509824882148052,1.001576005259404,2,medium,long_tenure
279,7.7,25.4,0.524,2,0.0860651222616441,0.3549726599238473,7,medium,established
280,3.1,20.6,0.528,1,-0.033565694834597405,0.37699918413342753,2,low,established
281,14.4,26.7,0.912,1,0.1414003164439161,1.4297215937931438,9,high,established
282,11.0,5.2,0.89,0,0.08679570236656425,-1.4037870780390214,7,medium,new
283,18.6,7.4,0.93,2,0.04832077329606219,-0.5069892603245132,5,high,new
284,16.2,15.4,0.816,2,0.18840328784250138,0.7725802182717307,10,high,new
285,4.1,10.1,0.712,3,0.27699764680166034,0.5349488960336146,10,low,new
286,11.2,71.9,0.472,1,-0.004137905255616226,0.7371488563460069,3,medium,long_tenure
287,15.1,4.4,0.845,0,-0.13000615157667564,1.0547733494665712,1,high,new
288,7.4,56.3,0.636,1,0.14925507882156355,-0.5018903108605075,9,medium,long_tenure
289,4.9,28.4,0.642,2,-0.008253493447095505,-0.5175002640161002,3,low,established
290,17.3,16.5,0.972,1,-0.0732151248752072,-1.2438785671284105,1,high,new
291,5.9,17.9,0.594,1,0.17692245799540457,1.4122654065918705,10,low,new
292,15.9,15.2,0.909,0,0.06787247002069996,0.8013425881225897,6,high,new
293,3.4,21.3,0.351,1,0.07395751938896718,-1.1475519369062204,6,low,established
294,23.1,10.6,0.884,0,0.11884422618186193,0.5581964167142983,8,high,new
295,1.3,12.7,0.395,0,0.07354956414053813,-0.8317938719403417,6,low,new
296,2.6,35.0,0.487,1,0.13338435440295798,0.4904793080815258,9,low,established
297,6.4,1.0,0.313,0,0.07536033327946697,0.4324955753780092,6,medium,new
298,1.8,19.5,0.411,0,-0.06776409472773297,-1.237371460566223,2,low,established
299,1.6,16.4,0.608,1,0.1433294063905831,-0.976012141524591,9,low,new
300,12.1,36.0,0.61,4,0.07368820362868898,0.42882376692054414,6,high,established
301,6.1,4.5,0.314,0,0.0562797050363885,0.5196977448672218,6,medium,new
302,17.3,10.0,0.863,0,0.13159374126122214,1.5136814474905118,8,high,new
303,9.5,29.8,0.344,2,0.006133801120602948,0.5575069184868869,4,medium,established
304,6.1,74.8,0.634,0,-0.07209505242780462,-0.5762120013494285,1,medium,long_tenure
305,3.8,26.0,0.611,1,0.10939412153988122,-0.7685185450790213,8,low,established
306,7.8,47.8,0.509,0,0.11720141861899963,-0.49073338811086575,8,medium,established
307,10.3,56.2,0.48,1,-0.03747114718767185,-0.7506529252460064,2,medium,long_tenure
308,10.1,41.6,0.518,2,0.27177070488508304,-0.9259619734274855,10,medium,established
309,13.5,1.6,0.99,3,-0.002478701242060749,0.6533686054487163,3,high,new
310,18.1,15.1,0.99,0,-0.02367140904828503,0.46654638234085066,3,high,new
311,3.5,61.9,0.689,0,-0.035023161710653235,0.8316588353933503,2,low,long_tenure
312,7.1,57.4,0.499,1,-0.07207880577648394,0.5743362485391941,1,medium,long_tenure
313,12.9,48.3,0.898,0,0.13288080389654935,-0.7623411248499496,9,high,long_tenure
314,5.7,57.0,0.837,1,0.21940900783972533,0.7758285118379538,10,low,long_tenure
315,13.2,67.4,0.606,0,0.06816738941046055,0.8846602102045382,6,high,long_tenure
316,4.0,52.8,0.655,1,0.26983149822764135,0.8804362078038623,10,low,long_tenure
317,5.8,68.3,0.666,0,0.013687816878380159,-0.6245795434563095,4,low,long_tenure
318,10.4,41.4,0.42,1,0.08089523946777585,0.5214745730266412,7,medium,established
319,14.7,8.9,0.99,0,0.13848678138754703,-0.50169412024315,9,high,new
320,4.9,21.3,0.524,1,0.10501929287141425,0.5302342432295777,8,low,established
321,8.4,11.3,0.211,0,0.18520132878258902,-0.5869746572582769,10,medium,new
322,9.8,48.3,0.494,2,-0.10231004809267956,0.4759419926895033,1,medium,long_tenure
323,6.7,74.4,0.533,1,-0.010546436138480686,0.516103498296908,3,medium,long_tenure
324,8.6,24.4,0.672,3,0.04481988702341809,0.3898999739000707,5,medium,established
325,5.9,1.0,0.347,1,0.1814276517892263,0.46480792293873974,10,low,new
326,10.7,52.2,0.634,2,0.01142078866777,0.4587730213516742,4,medium,long_tenure
327,4.6,12.4,0.41,0,0.11186186107264874,-1.0230100625989487,8,low,new
328,10.0,28.0,0.598,2,0.17689614117681687,0.7180272224623183,10,medium,established
329,10.0,50.7,0.645,3,0.03615841620106288,-0.6369933054505033,5,medium,long_tenure
330,15.8,14.3,0.93,0,0.06493280304314951,1.3900451038582091,6,high,new
