customer_id,age,tenure_months,annual_income,avg_balance,baseline_sessions_30d,digital_transaction_share,support_tickets_90d,product_count,prior_nps,missed_payment_flag,metro_flag,treated,true_propensity,true_retention_effect,pre_avg_active_days,post_avg_active_days,post_sessions_total,retained_30d,churned_30d
51,36,17.5,66506.0,7382.06,16.0,0.588,1,2,68.0,0,1,0,0.40542,0.06,1.432,1.024,22.95,1,0
52,34,1.0,122987.0,3137.76,14.6,0.934,0,1,68.0,0,1,0,0.35138,0.078,2.533,2.079,48.69,1,0
53,29,29.7,91603.0,8986.01,8.4,0.489,1,1,15.0,0,0,1,0.32915,0.03,1.516,1.479,33.21,1,0
54,50,27.9,57764.0,7442.41,9.7,0.508,1,2,2.0,0,1,0,0.31046,0.03,2.423,2.152,42.49,1,0
55,42,36.6,68911.0,6827.37,8.1,0.607,3,4,3.0,1,1,1,0.40852,0.005,1.446,1.626,36.17,0,1
56,32,24.8,48190.0,7203.51,3.6,0.485,1,3,-7.0,0,1,1,0.29395,0.075,0.37,0.7,25.4,0,1
57,44,64.2,130918.0,21239.6,7.6,0.505,0,5,35.0,0,1,1,0.29913,0.075,2.029,2.672,55.4,1,0
58,40,30.5,67748.0,9851.49,15.5,0.683,5,1,9.0,1,1,1,0.69339,0.005,1.094,1.372,32.73,0,1
59,18,25.4,98335.0,2812.95,12.4,0.933,0,2,10.0,0,1,0,0.3845,0.048,1.17,1.144,34.81,1,0
60,34,13.6,59791.0,23140.42,18.9,0.883,0,1,53.0,0,1,1,0.45453,0.078,3.105,3.283,64.29,1,0
61,31,13.5,35522.0,35875.94,10.5,0.602,3,4,-6.0,1,1,1,0.51455,0.035,1.457,1.674,41.92,0,1
62,52,68.8,89481.0,29787.21,12.2,0.718,0,5,46.0,0,1,0,0.25138,0.03,1.397,1.634,41.58,1,0
63,34,21.3,54545.0,11216.08,10.7,0.845,1,2,-32.0,0,0,1,0.40377,0.048,2.188,2.837,61.32,1,0
64,33,6.1,49427.0,3010.16,4.5,0.497,0,2,-4.0,0,1,0,0.31109,0.105,0.743,0.867,24.78,0,1
65,33,18.7,75732.0,6377.98,11.8,0.679,0,1,-35.0,0,0,0,0.37805,0.03,0.928,0.769,22.22,0,1
66,37,34.4,53792.0,8646.91,9.6,0.611,3,2,-35.0,0,1,0,0.4754,0.005,1.497,0.678,22.47,0,1
67,51,29.8,51918.0,7791.63,11.0,0.799,2,2,8.0,0,1,0,0.39696,0.048,0.258,0.213,13.32,1,0
68,59,36.4,107372.0,11909.09,11.9,0.479,2,5,23.0,0,1,0,0.43893,0.03,1.774,1.323,36.48,0,1
69,31,11.4,56233.0,5339.02,16.2,0.709,0,3,31.0,0,1,0,0.46165,0.06,1.939,1.65,37.04,0,1
70,49,76.0,118812.0,31132.29,6.9,0.657,1,4,55.0,0,1,0,0.33315,0.075,0.908,0.854,22.63,0,1
71,35,10.6,64681.0,5512.44,14.3,0.973,1,2,37.0,0,1,1,0.55142,0.078,1.81,1.937,51.35,0,1
72,57,60.0,166218.0,30427.58,9.2,0.357,2,2,52.0,0,1,0,0.25967,0.03,1.995,1.351,32.58,0,1
73,29,34.5,45167.0,2373.56,2.1,0.43,2,3,-10.0,1,1,0,0.31383,0.075,0.706,0.659,23.02,0,1
74,28,25.5,69005.0,7946.8,15.1,0.88,1,2,37.0,0,1,0,0.47395,0.048,2.302,2.467,55.79,1,0
75,18,28.3,65600.0,6363.73,13.4,0.982,0,2,27.0,0,1,1,0.36785,0.048,1.962,2.382,54.76,1,0
76,37,1.0,94550.0,11150.77,17.4,0.947,0,4,54.0,0,1,0,0.48176,0.078,1.714,2.006,49.07,0,1
77,43,36.8,72899.0,6206.84,14.0,0.701,0,1,40.0,0,1,0,0.34444,0.03,2.278,2.086,49.15,1,0
78,39,38.6,95617.0,7035.7,5.5,0.471,3,3,6.0,0,0,0,0.41723,0.05,0.975,1.227,32.82,1,0
79,23,60.5,52748.0,11945.34,6.0,0.501,2,3,-5.0,0,1,0,0.37368,0.075,2.142,2.489,57.37,0,1
80,39,12.6,58219.0,827.96,3.0,0.511,1,2,-27.0,0,0,0,0.31442,0.105,0.787,1.131,32.98,0,1
81,32,9.8,61632.0,31400.8,7.7,0.631,0,3,-13.0,0,1,0,0.26796,0.105,1.242,0.914,29.39,1,0
82,44,62.1,99109.0,38247.68,8.7,0.572,1,5,5.0,1,1,0,0.42337,0.03,0.388,0.296,16.32,1,0
83,39,18.7,57934.0,12410.07,4.1,0.446,0,1,17.0,0,1,0,0.23618,0.075,0.611,0.718,21.38,1,0
84,31,23.8,121343.0,2557.43,17.0,0.784,0,3,55.0,0,1,1,0.41049,0.048,1.27,1.158,24.97,0,1
85,26,28.9,60367.0,2176.26,17.2,0.99,0,3,57.0,0,1,0,0.42803,0.048,2.383,2.113,55.46,1,0
86,24,15.0,73429.0,5708.0,18.0,0.963,0,2,42.0,0,1,1,0.49276,0.078,2.259,2.239,51.11,1,0
87,36,19.1,41398.0,3797.18,0.0,0.516,2,2,-21.0,0,1,1,0.29118,0.075,0.281,0.562,16.32,0,1
88,46,68.3,93062.0,39868.84,5.0,0.791,1,3,38.0,0,0,1,0.23115,0.093,1.333,1.921,43.35,1,0
89,21,12.9,61447.0,5077.73,17.5,0.99,0,2,52.0,0,1,0,0.47154,0.078,1.938,1.569,34.33,1,0
90,47,57.9,122212.0,21273.45,8.6,0.643,2,3,31.0,0,1,0,0.39097,0.03,1.695,1.436,36.31,1,0
91,31,28.4,68117.0,1713.6,18.6,0.88,0,2,46.0,0,0,0,0.44036,0.048,2.226,1.772,41.38,0,1
92,37,46.1,67737.0,9616.59,4.8,0.732,3,3,-44.0,0,1,0,0.42318,0.05,0.83,0.868,23.06,0,1
93,39,75.0,88429.0,13902.26,6.7,0.643,0,4,35.0,0,1,0,0.19772,0.075,2.232,1.804,40.68,1,0
94,56,60.0,116542.0,13074.74,7.2,0.558,1,4,32.0,1,1,0,0.35772,0.075,1.792,1.554,36.15,1,0
95,30,36.3,158021.0,24986.24,8.4,0.856,0,3,11.0,0,1,0,0.3718,0.048,2.18,1.879,45.46,1,0
96,35,29.2,49896.0,10584.28,9.1,0.487,3,3,2.0,0,0,1,0.42333,0.005,1.491,1.345,31.42,0,1
97,45,52.9,125382.0,116486.97,9.3,0.449,2,4,25.0,0,0,0,0.29506,0.03,0.603,0.209,10.41,0,1
98,30,14.4,82253.0,8504.5,15.7,0.99,1,3,48.0,0,1,0,0.4868,0.078,1.422,1.321,33.49,1,0
99,33,7.9,61530.0,11423.46,19.7,0.82,1,3,53.0,0,0,1,0.52051,0.078,1.204,1.27,26.76,1,0
100,43,21.8,64699.0,4588.22,9.1,0.478,1,1,16.0,0,1,1,0.34711,0.03,1.84,2.013,50.36,0,1
101,30,9.5,39128.0,3807.86,1.5,0.63,1,1,-15.0,0,0,0,0.27232,0.105,0.484,0.561,16.29,0,1
102,42,15.6,91519.0,40780.55,9.1,0.439,0,3,-15.0,0,1,0,0.35204,0.06,2.212,1.76,34.68,1,0
103,30,30.7,83889.0,1904.5,18.2,0.895,1,2,84.0,0,1,1,0.45695,0.048,2.854,3.223,69.02,1,0
104,23,10.4,59893.0,2293.35,6.1,0.593,0,2,37.0,0,0,0,0.31208,0.105,0.846,0.753,23.78,1,0
105,48,22.0,79937.0,2412.7,3.4,0.505,0,1,26.0,0,0,0,0.24637,0.075,1.512,1.164,30.55,0,1
106,28,42.5,65874.0,14299.92,9.7,0.57,6,2,-3.0,0,1,1,0.62386,0.005,1.453,1.614,39.28,0,1
107,52,73.0,116796.0,16937.52,3.7,0.903,1,5,15.0,0,0,0,0.28922,0.093,1.161,1.008,29.19,1,0
108,32,25.5,110092.0,7391.32,15.9,0.89,0,2,41.0,0,1,1,0.49928,0.048,2.271,2.64,59.85,1,0
109,31,19.6,124928.0,6559.08,12.1,0.944,1,3,36.0,0,0,1,0.44709,0.048,2.43,2.78,60.58,1,0
110,32,30.7,48926.0,5090.05,5.9,0.611,1,2,8.0,1,1,0,0.31931,0.075,1.396,0.947,30.17,0,1
111,55,78.5,133826.0,53658.02,5.0,0.748,1,5,7.0,0,1,0,0.32316,0.075,1.147,0.443,16.92,1,0
112,18,21.1,100775.0,12231.14,16.4,0.99,0,2,62.0,0,0,1,0.41134,0.048,1.663,1.742,41.51,0,1
113,49,40.0,135119.0,30992.64,8.9,0.541,0,5,-17.0,0,0,0,0.30377,0.03,1.549,1.362,39.3,0,1
114,34,24.7,84538.0,11291.43,9.2,0.725,5,4,8.0,1,1,1,0.6519,0.005,0.723,0.926,32.39,0,1
115,24,24.4,93826.0,2787.99,14.3,0.919,0,2,61.0,0,1,1,0.32908,0.048,2.713,2.644,57.72,0,1
116,38,14.5,50689.0,1602.39,3.9,0.348,1,1,54.0,0,1,0,0.19154,0.105,1.141,0.447,17.71,0,1
117,43,41.4,66072.0,9447.51,7.7,0.454,0,1,5.0,0,0,1,0.27401,0.075,0.675,1.087,27.99,1,0
118,36,30.2,71880.0,4718.85,7.9,0.611,4,3,-18.0,0,1,0,0.50442,0.05,1.572,1.579,36.59,1,0
119,54,63.0,99355.0,48549.74,8.1,0.845,0,3,36.0,0,1,1,0.3307,0.048,2.752,2.604,60.46,1,0
120,38,44.5,55117.0,11297.93,7.5,0.632,4,2,3.0,0,1,1,0.45771,0.05,0.753,0.82,23.66,0,1
121,32,28.8,60371.0,17170.27,11.8,0.504,1,2,-10.0,0,1,1,0.28663,0.03,1.051,1.303,27.74,1,0
122,36,33.1,92515.0,2722.66,9.2,0.479,5,3,-30.0,0,1,1,0.47844,0.005,0.674,0.792,27.57,0,1
123,27,26.8,98524.0,8031.42,13.9,0.895,0,4,55.0,0,0,0,0.32311,0.048,2.195,1.898,42.16,1,0
124,44,44.3,168972.0,30815.42,8.0,0.492,2,5,34.0,0,0,0,0.24976,0.03,1.322,1.269,39.53,1,0
125,32,12.6,85590.0,3046.94,15.3,0.821,0,1,25.0,0,1,0,0.42635,0.078,1.794,1.207,27.38,0,1
126,51,71.9,154272.0,27186.06,11.8,0.613,1,7,3.0,0,0,0,0.37706,0.03,1.913,1.618,37.45,1,0
127,38,62.8,148739.0,62780.02,7.9,0.594,0,4,81.0,0,0,0,0.27006,0.075,1.198,1.049,28.7,0,1
128,18,33.6,84841.0,7238.28,12.3,0.98,1,1,60.0,0,1,0,0.43158,0.048,1.492,1.366,37.7,1,0
129,32,1.0,86408.0,4140.96,17.3,0.819,0,1,55.0,0,1,0,0.41818,0.078,1.811,1.5,31.16,0,1
130,32,10.7,49278.0,3815.31,13.8,0.318,5,2,-10.0,1,0,1,0.68223,0.035,1.815,2.04,44.92,0,1
131,31,25.2,61397.0,2246.84,19.2,0.715,0,1,57.0,0,0,1,0.41409,0.03,3.0,2.539,60.55,1,0
132,40,32.4,44689.0,4894.35,1.5,0.428,0,2,-10.0,0,0,0,0.24224,0.075,0.84,0.8,25.31,0,1
133,29,28.7,97086.0,3486.54,8.3,0.525,1,1,-4.0,0,1,0,0.32176,0.03,1.4,1.157,27.82,1,0
134,39,66.8,215694.0,29634.39,7.9,0.504,1,5,39.0,0,1,1,0.26365,0.075,2.029,2.331,51.31,0,1
135,50,39.9,40086.0,45701.83,8.9,0.805,2,3,-28.0,1,1,0,0.47695,0.048,1.986,1.36,33.37,0,1
136,31,6.2,115959.0,6066.56,17.0,0.99,0,2,42.0,0,1,0,0.39946,0.078,2.377,2.392,51.78,1,0
137,32,13.5,60398.0,4860.17,3.6,0.424,1,2,2.0,0,1,0,0.33216,0.105,0.577,0.403,15.69,0,1
138,42,64.3,181397.0,16055.68,5.5,0.666,0,3,19.0,0,1,0,0.26118,0.075,0.559,0.315,12.83,0,1
139,31,32.8,67646.0,1351.03,7.1,0.401,0,1,-0.0,0,0,0,0.32048,0.075,0.598,0.158,13.97,1,0
140,21,2.0,112128.0,7548.6,13.0,0.762,1,3,12.0,0,0,0,0.42436,0.078,2.99,2.8,59.77,1,0
141,55,59.6,146041.0,26634.49,5.8,0.753,1,4,54.0,0,0,1,0.31108,0.093,0.803,1.41,32.5,1,0
142,44,59.1,95499.0,68620.4,4.9,0.734,0,4,64.0,0,1,0,0.17597,0.075,2.554,2.356,54.12,1,0
143,43,27.0,57340.0,3292.51,6.2,0.212,1,1,-8.0,0,1,1,0.32193,0.075,1.132,1.428,38.63,0,1
144,35,30.9,82756.0,80727.34,9.3,0.615,4,4,13.0,0,1,1,0.51509,0.005,1.609,1.752,49.26,0,1
145,42,55.4,130183.0,23540.63,10.4,0.677,1,5,33.0,0,0,0,0.2894,0.03,1.148,0.694,27.46,1,0
146,26,31.0,90769.0,5795.1,13.9,0.865,2,3,44.0,0,1,0,0.52582,0.048,1.09,1.574,37.75,0,1
147,31,55.5,135574.0,19097.19,4.6,0.871,1,4,9.0,1,0,1,0.44993,0.093,1.161,1.517,33.57,1,0
148,37,27.5,61306.0,16698.08,7.8,0.809,0,3,-19.0,0,1,0,0.33442,0.093,1.217,1.025,24.32,0,1
149,48,42.9,102929.0,45470.74,7.5,0.598,0,3,44.0,0,1,0,0.33675,0.075,1.592,1.184,27.97,0,1
150,35,7.4,68371.0,2571.02,16.6,0.875,0,3,25.0,0,1,0,0.37487,0.078,1.858,1.122,30.19,0,1
151,22,28.2,62351.0,2604.86,0.0,0.393,1,2,-4.0,0,0,1,0.24619,0.075,0.346,0.456,17.35,0,1
152,43,25.8,34761.0,7809.22,5.8,0.363,3,3,0.0,1,1,1,0.29869,0.05,1.469,1.642,36.7,1,0
153,35,23.2,61566.0,10833.99,13.6,0.799,2,2,-21.0,0,1,0,0.56843,0.048,2.872,2.437,60.65,0,1
154,47,37.6,41995.0,3404.45,7.3,0.646,2,2,-2.0,0,0,1,0.30832,0.075,1.082,1.403,32.86,0,1
155,29,41.1,64336.0,3547.34,19.2,0.99,0,3,56.0,0,1,0,0.34376,0.048,2.488,2.429,56.39,1,0
156,45,22.0,99478.0,27892.27,3.1,0.761,0,2,-1.0,0,1,0,0.30951,0.093,0.855,0.744,20.41,0,1
157,19,1.0,55173.0,4307.73,16.9,0.987,1,3,62.0,0,1,0,0.5581,0.078,2.059,2.3,52.11,1,0
158,43,18.4,87053.0,9618.29,9.9,0.325,2,4,-16.0,0,1,0,0.38426,0.03,1.218,0.905,29.89,0,1
159,30,13.6,127322.0,6240.86,2.3,0.225,0,3,44.0,0,0,0,0.21475,0.105,0.395,0.718,19.75,0,1
160,23,10.3,87356.0,1346.77,3.3,0.547,4,2,-6.0,0,1,0,0.5323,0.08,0.831,0.488,22.14,0,1
161,21,17.1,78790.0,2607.19,19.3,0.99,0,3,40.0,0,1,1,0.43894,0.078,2.63,2.797,59.3,1,0
162,35,37.0,74389.0,2594.02,9.8,0.491,2,1,4.0,0,1,1,0.33847,0.03,1.025,1.286,44.74,1,0
163,23,34.5,52506.0,10507.43,18.9,0.866,0,2,48.0,0,1,0,0.4989,0.048,1.815,1.702,39.6,1,0
164,32,22.1,49695.0,9317.78,21.1,0.99,1,2,39.0,0,1,1,0.5601,0.048,2.309,2.517,54.87,0,1
165,25,56.7,72560.0,13630.22,7.1,0.673,4,2,-10.0,1,0,0,0.5794,0.05,1.233,0.657,19.56,0,1
166,34,57.7,153681.0,31195.75,3.7,0.765,0,6,21.0,0,0,0,0.20288,0.093,0.628,0.78,26.52,1,0
167,45,2.4,79283.0,6671.42,4.4,0.226,0,1,2.0,0,1,0,0.196,0.105,0.207,0.172,15.34,0,1
168,41,34.6,50601.0,2899.08,6.7,0.468,0,1,-32.0,1,0,0,0.28904,0.075,1.109,1.049,31.84,0,1
169,42,39.9,145397.0,49720.39,3.0,0.835,0,4,49.0,0,1,0,0.28268,0.093,1.08,0.779,19.47,0,1
170,35,12.9,61590.0,5791.77,2.0,0.488,0,2,-9.0,0,1,1,0.32392,0.105,0.762,1.306,33.81,0,1
171,36,22.2,73351.0,14469.03,13.8,0.99,0,1,35.0,0,1,1,0.47908,0.048,2.568,2.387,54.46,0,1
172,52,60.8,135326.0,32921.47,9.0,0.644,0,4,14.0,0,1,1,0.31923,0.03,1.481,1.819,40.62,1,0
173,30,13.7,60338.0,3793.85,16.6,0.912,0,2,55.0,0,1,0,0.50589,0.078,2.048,1.531,34.39,1,0
174,43,7.8,63628.0,7429.15,2.4,0.584,0,1,-0.0,0,0,0,0.25656,0.105,1.055,0.568,15.88,1,0
175,24,15.9,80110.0,11713.96,16.5,0.826,0,3,-2.0,1,1,0,0.41695,0.078,1.463,1.044,25.53,0,1
176,29,28.0,67487.0,3373.27,12.9,0.816,0,1,49.0,0,0,1,0.28927,0.048,1.962,2.518,52.78,1,0
177,49,62.2,165176.0,16650.9,6.8,0.587,0,3,20.0,0,1,0,0.20258,0.075,1.422,1.382,33.58,0,1
178,33,12.0,77871.0,7070.88,1.1,0.433,2,2,10.0,0,1,0,0.22364,0.105,0.25,0.4,11.18,0,1
179,32,7.0,70840.0,1101.3,4.1,0.253,0,1,26.0,0,1,0,0.1941,0.105,0.825,1.202,36.15,0,1
180,36,12.3,44526.0,1065.34,2.3,0.51,1,1,-9.0,0,1,1,0.26643,0.105,0.302,0.653,24.48,1,0
181,35,26.7,60609.0,2689.14,6.4,0.412,0,1,9.0,0,0,1,0.30522,0.075,1.683,2.191,52.7,0,1
182,28,26.1,46129.0,3206.56,4.4,0.524,2,2,-5.0,0,1,1,0.36486,0.075,0.852,0.537,20.55,0,1
183,55,52.4,141645.0,16066.99,7.4,0.407,0,4,53.0,0,1,0,0.29743,0.075,2.003,1.775,39.5,0,1
184,42,35.5,108009.0,36964.12,12.8,0.734,1,5,36.0,0,0,0,0.3317,0.03,1.154,1.356,37.24,0,1
185,33,27.0,83294.0,3567.33,5.5,0.577,1,1,10.0,0,0,0,0.33889,0.075,0.722,0.86,34.7,0,1
186,36,20.2,88958.0,5854.38,8.0,0.638,2,3,-32.0,0,0,1,0.51014,0.03,1.149,1.545,35.66,0,1
187,52,70.3,188399.0,119999.51,6.4,0.643,0,5,48.0,0,1,1,0.21603,0.075,1.397,1.432,34.1,0,1
188,18,6.9,100957.0,5950.18,12.8,0.99,0,3,61.0,0,1,1,0.38184,0.078,1.505,1.368,36.11,0,1
189,41,10.1,54843.0,6247.18,4.3,0.57,1,1,-5.0,0,1,0,0.40772,0.105,1.216,1.275,35.72,0,1
190,24,17.8,67750.0,1746.37,16.8,0.958,0,2,47.0,0,1,0,0.42895,0.078,2.172,1.888,43.24,0,1
191,44,50.3,94425.0,1157.73,0.0,0.496,1,3,21.0,0,0,0,0.28659,0.075,0.142,0.213,11.82,1,0
192,26,25.0,72686.0,6068.54,12.3,0.99,0,3,86.0,0,1,0,0.28644,0.048,1.368,1.115,32.62,1,0
193,29,17.6,52720.0,15025.29,14.6,0.984,0,2,51.0,0,1,1,0.51011,0.078,1.139,1.994,47.6,0,1
194,48,26.3,77444.0,1556.06,1.5,0.342,0,2,10.0,1,1,1,0.32158,0.075,1.18,0.439,20.83,0,1
195,27,1.0,79008.0,4939.54,16.1,0.99,0,2,41.0,0,1,1,0.41831,0.078,2.188,2.148,49.58,1,0
196,38,2.5,114130.0,2016.3,16.5,0.886,0,2,42.0,0,1,0,0.44067,0.078,2.06,1.792,45.16,1,0
197,38,1.0,76882.0,5014.52,8.7,0.594,2,3,7.0,0,1,1,0.36517,0.06,0.668,0.743,17.94,1,0
198,38,42.8,58682.0,3401.22,6.0,0.442,0,2,-7.0,0,0,1,0.25129,0.075,0.91,0.946,27.64,1,0
199,29,34.3,114753.0,3267.03,14.4,0.99,0,1,62.0,0,1,1,0.31252,0.048,2.462,2.676,56.83,1,0
200,55,66.7,91092.0,13696.57,7.9,0.832,1,4,5.0,0,1,0,0.25825,0.093,2.411,1.915,44.58,1,0
201,30,23.6,50375.0,1265.5,1.8,0.433,1,1,23.0,0,1,0,0.21028,0.075,0.179,0.269,14.91,0,1
202,28,3.4,46430.0,880.48,5.3,0.62,2,1,28.0,0,1,0,0.42744,0.105,1.958,1.561,38.21,0,1
203,45,59.4,76293.0,43619.98,8.2,0.658,1,4,49.0,0,1,0,0.21822,0.03,2.704,2.484,58.0,1,0
204,30,37.5,96206.0,6635.97,12.8,0.99,1,2,49.0,0,1,0,0.4918,0.048,1.813,1.874,46.19,0,1
205,27,17.6,65381.0,6614.32,15.6,0.922,2,2,52.0,0,1,1,0.55378,0.078,1.966,2.635,56.58,1,0
206,34,9.2,97046.0,2492.07,15.9,0.846,1,3,36.0,0,1,0,0.55318,0.078,2.51,2.467,53.65,1,0
207,38,1.0,84419.0,8653.34,16.8,0.99,0,2,23.0,0,1,1,0.51363,0.078,2.048,2.046,41.12,1,0
208,31,47.6,84825.0,12665.07,9.9,0.525,2,4,-3.0,1,1,1,0.53116,0.03,1.481,2.022,44.24,0,1
209,24,15.2,67207.0,4521.39,14.1,0.828,0,3,45.0,0,0,0,0.32876,0.078,1.464,1.471,36.43,1,0
210,39,40.9,112270.0,28898.72,10.1,0.502,0,3,52.0,0,0,0,0.3454,0.03,2.403,1.591,38.28,1,0
